"","song_id","pitch","duration","pitch_interval"
"1075",21,74,"0.5",NA
"1076",21,67,"0.5",-7
"1077",21,67,"0.5",0
"1078",21,69,"0.5",2
"1079",21,71,"0.5",2
"1080",21,71,"0.5",0
"1081",21,74,"0.5",3
"1082",21,74,"0.5",0
"1083",21,72,"0.5",-2
"1084",21,71,"0.5",-1
"1085",21,69,"1.0",-2
"1086",21,74,"0.5",5
"1087",21,67,"1.0",-7
"1088",21,69,"0.5",2
"1089",21,71,"0.5",2
"1090",21,71,"0.5",0
"1091",21,74,"0.5",3
"1092",21,69,"0.5",-5
"1093",21,71,"0.5",2
"1094",21,69,"0.5",-2
"1095",21,67,"1.0",-2
"1230",24,67,"0.5",NA
"1231",24,67,"1.0",0
"1232",24,64,"0.5",-3
"1233",24,72,"0.5",8
"1234",24,71,"0.5",-1
"1235",24,69,"0.5",-2
"1236",24,67,"1.0",-2
"1237",24,64,"0.5",-3
"1238",24,64,"1.0",0
"1239",24,64,"0.5",0
"1240",24,62,"0.5",-2
"1241",24,65,"0.5",3
"1242",24,69,"0.5",4
"1243",24,67,"1.0",-2
"1244",24,65,"0.5",-2
"1245",24,64,"2.5",-1
"1246",24,67,"0.5",3
"1247",24,67,"1.0",0
"1248",24,64,"0.5",-3
"1249",24,72,"0.5",8
"1250",24,71,"0.5",-1
"1251",24,69,"0.5",-2
"1252",24,67,"1.0",-2
"1253",24,64,"0.5",-3
"1254",24,64,"1.0",0
"1255",24,64,"0.5",0
"1256",24,62,"0.5",-2
"1257",24,65,"0.5",3
"1258",24,69,"0.5",4
"1259",24,67,"1.0",-2
"1260",24,65,"0.5",-2
"1261",24,64,"2.5",-1
"1262",24,67,"0.5",3
"1263",24,65,"1.0",-2
"1264",24,62,"0.5",-3
"1265",24,62,"0.5",0
"1266",24,65,"0.5",3
"1267",24,69,"0.5",4
"1268",24,67,"1.0",-2
"1269",24,64,"0.5",-3
"1270",24,64,"1.0",0
"1271",24,67,"0.5",3
"1272",24,65,"1.0",-2
"1273",24,62,"0.5",-3
"1274",24,62,"0.5",0
"1275",24,65,"0.5",3
"1276",24,69,"0.5",4
"1277",24,67,"1.0",-2
"1278",24,64,"0.5",-3
"1279",24,64,"1.0",0
"1280",24,67,"0.25",3
